score,frequency,class
-7.27386302710116,0.00198959773746286,"deleterious"
-7.26368439324969,0.00212087595751627,"deleterious"
-7.25350575939823,0.00225764032460861,"deleterious"
-7.24332712554677,0.00240619438067644,"deleterious"
-7.2331484916953,0.00255819694664608,"deleterious"
-7.22296985784384,0.00272504837224096,"deleterious"
-7.21279122399238,0.00289682082230463,"deleterious"
-7.20261259014092,0.00308074263585116,"deleterious"
-7.19243395628945,0.0032743630066096,"deleterious"
-7.18225532243799,0.0034768292529069,"deleterious"
-7.17207668858653,0.00369453633957724,"deleterious"
-7.16189805473506,0.00391711714203875,"deleterious"
-7.1517194208836,0.00416131635109834,"deleterious"
-7.14154078703213,0.00441103061470348,"deleterious"
-7.13136215318067,0.0046789494410688,"deleterious"
-7.12118351932921,0.00495861230936032,"deleterious"
-7.11100488547774,0.00525196008480258,"deleterious"
-7.10082625162628,0.00556439980094015,"deleterious"
-7.09064761777482,0.0058851568935708,"deleterious"
-7.08046898392335,0.00623338332998212,"deleterious"
-7.07029035007189,0.00658889749219027,"deleterious"
-7.06011171622043,0.00697084427199245,"deleterious"
-7.04993308236897,0.00736641321951474,"deleterious"
-7.0397544485175,0.00778235722050395,"deleterious"
-7.02957581466604,0.00822143609816135,"deleterious"
-7.01939718081458,0.00867379023792347,"deleterious"
-7.00921854696311,0.00916001827504869,"deleterious"
-6.99903991311165,0.00965565911678896,"deleterious"
-6.98886127926018,0.0101885011575084,"deleterious"
-6.97868264540872,0.0107363802253135,"deleterious"
-6.96850401155726,0.0113135097776816,"deleterious"
-6.95832537770579,0.0119176967345104,"deleterious"
-6.94814674385433,0.0125419446087034,"deleterious"
-6.93796811000287,0.0132066771618948,"deleterious"
-6.92778947615141,0.0138832878338158,"deleterious"
-6.91761084229994,0.0146106457126386,"deleterious"
-6.90743220844848,0.0153536397897493,"deleterious"
-6.89725357459702,0.0161371663611612,"deleterious"
-6.88707494074555,0.0169511456639521,"deleterious"
-6.87689630689409,0.0177940237497431,"deleterious"
-6.86671767304263,0.0186837178821029,"deleterious"
-6.85653903919116,0.0195892007642783,"deleterious"
-6.8463604053397,0.0205594504046318,"deleterious"
-6.83618177148823,0.0215459031994473,"deleterious"
-6.82600313763677,0.0225865904397521,"deleterious"
-6.81582450378531,0.0236601291513015,"deleterious"
-6.80564586993385,0.0247735065582638,"deleterious"
-6.79546723608238,0.0259391533911844,"deleterious"
-6.78528860223092,0.027128653155088,"deleterious"
